ID	ALIGNMENT	COGID	CONCEPT	COUNTERPART	DOCULECT	GLOSA 1 PORT	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	IPA	MODIFIED	PET	PWT	TOKENS
777	h o - h o	70	toad sp.	hoho	SEK	sapo	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	hoho	FALSE	PET	PWT	h o h o
778	m o ʔm o	70	toad sp.	moʔmo	TUK	sapo	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	moʔmo	FALSE	PET	PWT	m o ʔm o
779	w a ʔm u	70	toad sp.	waʔmu	WAN	sapo	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	waʔmu	FALSE	PET	PWT	w a ʔm u
780	pʔ o p a	70	toad sp.	-	*PT	-	-	-	-	-	*pʔopa	TRUE	-	-	pʔ o p a
781	b o h e	71	break	bohe	BAS	quebrar	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	bohe	FALSE	PET	PWT	b o h e
782	b o h e	71	break	bohe	DES	quebrar	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	bohe	FALSE	PET	PWT	b o h e
783	h ũ h e	71	break	hũhe	KOR	quebrar	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	hũhe	FALSE	PET	PWT	h ũ h e
784	p o p e	71	break	pope	KUB	quebrar	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	pope	FALSE	PET	PWT	p o p e
785	h o - a	71	break	hoa	MAI	quebrar	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	hoa	FALSE	PET	PWT	h o a
786	h o ʔ a	71	break	hoʔa	SEK	quebrar	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	hoʔa	FALSE	PET	PWT	h o ʔ a
787	b o p e	71	break	bope	TUK	quebrar	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	bope	FALSE	PET	PWT	b o p e
788	p a - a	71	break	paa	TUY	quebrar	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	paa	FALSE	PET	PWT	p a a
789	p o ʔ a	71	break	poʔa	WAN	quebrar	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	poʔa	FALSE	PET	PWT	p o ʔ a
790	pʔ o p e	71	break	-	*PT	-	-	-	-	-	*pʔope	TRUE	-	-	pʔ o p e
791	m ũ c ã - - - -	72	urucum (achiote)	~buca	BAS	urucm	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~buca	FALSE	PET	PWT	m ũ c ã
792	m ũ s ã - - - -	72	urucum (achiote)	~busa	DES	urucm	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~busa	FALSE	PET	PWT	m ũ s ã
793	m ũ s ã - - - -	72	urucum (achiote)	~busa	KAR	urucm	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~busa	FALSE	PET	PWT	m ũ s ã
794	p ũ s a - - - -	72	urucum (achiote)	pũsa	KOR	urucm	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	pũsa	FALSE	PET	PWT	p ũ s a
795	m ũ h ã - - - -	72	urucum (achiote)	~buha	KUB	urucm	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~buha	FALSE	PET	PWT	m ũ h ã
796	m u hi a - - -	72	urucum (achiote)	muhia	KUE	urucm	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	muhia	FALSE	PET	PWT	m u hi a
797	b o s a - - - -	72	urucum (achiote)	bosa	MAI	urucm	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	bosa	FALSE	PET	PWT	b o s a
798	pʔ õ s a - - - -	72	urucum (achiote)	pʔõsa	SEK	urucm	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	pʔõsa	FALSE	PET	PWT	pʔ õ s a
799	pʔ õ s a - - - -	72	urucum (achiote)	pʔõsa	SIO	urucm	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	pʔõsa	FALSE	PET	PWT	pʔ õ s a
800	m ũ h ã - - - -	72	urucum (achiote)	~buha	TAN	urucm	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~buha	FALSE	PET	PWT	m ũ h ã
801	m õ s ã - - - -	72	urucum (achiote)	~bosa	TUK	urucm	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~bosa	FALSE	PET	PWT	m õ s ã
802	m ã s ĩ _ s õ a	72	urucum (achiote)	~basi sõa	WAN	urucm	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~basi_sõa	FALSE	PET	PWT	m ã s ĩ _ s õ a
803	pʔ õ s a	72	urucum (achiote)	-	*PT	-	-	-	-	-	*pʔõsa	TRUE	-	-	pʔ õ s a
804	b o - d e k a -	73	aracu fish	bodeka	BAS	aracu fish	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	bodeka	FALSE	*pʔotʔika	PWT	b o d e k a
805	b o - d e k a -	73	aracu fish	bodeka	DES	aracu fish	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	bodeka	FALSE	*pʔotʔika	PWT	b o d e k a
806	b o - t e k a -	73	aracu fish	boteka	KAR	aracu fish	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	boteka	FALSE	*pʔotʔika	PWT	b o t e k a
807	b o - d i k a -	73	aracu fish	bodika	KUB	aracu fish	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	bodika	FALSE	*pʔotʔika	PWT	b o d i k a
808	p o - l e ki a	73	aracu fish	polekia	KUE	aracu fish	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	polekia	FALSE	*pʔotʔika	PWT	p o l e ki a
809	b o - t a k a -	73	aracu fish	botaka	TAN	aracu fish	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	botaka	FALSE	*pʔotʔika	PWT	b o t a k a
810	b o ʔt e a	73	aracu fish	boʔtea	TUK	aracu fish	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	boʔtea	FALSE	*pʔotʔika	PWT	b o ʔt e a
811	b o ʔt e a	73	aracu fish	boʔtea	WAN	aracu fish	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	boʔtea	FALSE	*pʔotʔika	PWT	b o ʔt e a
812	pʔ o t ʔ i k a	73	aracu fish	-	*PT	-	-	-	-	-	*pʔotʔika	TRUE	-	-	pʔ o t ʔ i k a
813	m ĩ h ĩ	74	swell	~bihi	BAS	inchação	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~bihi	FALSE	PET	PWT	m ĩ h ĩ
814	b i h i	74	swell	bihi	DES	inchação	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	bihi	FALSE	PET	PWT	b i h i
815	h u h u	74	swell	huhu	MAI	inchação	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	huhu	FALSE	PET	PWT	h u h u
816	h u h u	74	swell	huhu	SIO	inchação	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	huhu	FALSE	PET	PWT	h u h u
817	p ĩ p i	74	swell	pĩpi	TAN	inchação	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	pĩpi	FALSE	PET	PWT	p ĩ p i
818	b i p i	74	swell	bipi	TUK	inchação	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	bipi	FALSE	PET	PWT	b i p i
819	b i p i	74	swell	bipi	TUY	inchação	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	bipi	FALSE	PET	PWT	b i p i
820	w i p i	74	swell	wipi	WAN	inchação	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	wipi	FALSE	PET	PWT	w i p i
821	pʔ u p i	74	swell	-	*PT	-	-	-	-	-	*pʔupi	TRUE	-	-	pʔ u p i
822	h a k ɨ	75	father	hakɨ	BAS	pai	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	hakɨ	FALSE	PET	PWT	h a k ɨ
823	p a g ɨ	75	father	pagɨ	DES	pai	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	pagɨ	FALSE	PET	PWT	p a g ɨ
824	p a k ɨ	75	father	pakɨ	KAR	pai	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	pakɨ	FALSE	PET	PWT	p a k ɨ
825	h a kh ɨ	75	father	hakhɨ	KOR	pai	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	hakhɨ	FALSE	PET	PWT	h a kh ɨ
826	p a k ɨ	75	father	pakɨ	KUB	pai	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	pakɨ	FALSE	PET	PWT	p a k ɨ
827	h a k ɨ	75	father	hakɨ	KUE	pai	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	hakɨ	FALSE	PET	PWT	h a k ɨ
828	h a k ɨ	75	father	hakɨ	MAI	pai	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	hakɨ	FALSE	PET	PWT	h a k ɨ
829	h a k ɨ	75	father	hakɨ	SEK	pai	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	hakɨ	FALSE	PET	PWT	h a k ɨ
830	h a k ɨ	75	father	hakɨ	SIO	pai	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	hakɨ	FALSE	PET	PWT	h a k ɨ
831	p a k i	75	father	paki	TAN	pai	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	paki	FALSE	PET	PWT	p a k i
832	p a k ɨ	75	father	pakɨ	TUK	pai	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	pakɨ	FALSE	PET	PWT	p a k ɨ
833	p a k ɨ	75	father	pakɨ	TUY	pai	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	pakɨ	FALSE	PET	PWT	p a k ɨ
834	ph ɨ k ɨ	75	father	phɨkɨ	WAN	pai	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	phɨkɨ	FALSE	PET	PWT	ph ɨ k ɨ
835	p a k ɨ	75	father	-	*PT	-	-	-	-	-	*pa-kɨ	FALSE	-	-	p a k ɨ
836	h a - i	76	big	hai	BAS	grande	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	hai	FALSE	PET	PWT	h a i
837	p a - i	76	big	pai	KAR	grande	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	pai	FALSE	PET	PWT	p a i
838	h a - i	76	big	hai	MAI	grande	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	hai	FALSE	PET	PWT	h a i
839	p a h i	76	big	pahi	PIR	grande	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	pahi	FALSE	PET	PWT	p a h i
840	h a - i	76	big	hai	SEK	grande	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	hai	FALSE	PET	PWT	h a i
841	h a - i	76	big	hai	SIO	grande	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	hai	FALSE	PET	PWT	h a i
842	p a h i	76	big	pahi	TUK	grande	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	pahi	FALSE	PET	PWT	p a h i
843	p a - i	76	big	pai	TUY	grande	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	pai	FALSE	PET	PWT	p a i
844	p a h i	76	big	-	*PT	-	-	-	-	-	*pahi	FALSE	-	-	p a h i
845	h ã m õ	77	armadillo	~habo	BAS	tatu	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~habo	FALSE	PET	PWT	h ã m õ
846	p ã m õ	77	armadillo	~pabo	DES	tatu	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~pabo	FALSE	PET	PWT	p ã m õ
847	p ã m õ	77	armadillo	~pabo	KAR	tatu	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~pabo	FALSE	PET	PWT	p ã m õ
848	h a m u	77	armadillo	hamu	KOR	tatu	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	hamu	FALSE	PET	PWT	h a m u
849	p ã m ũ	77	armadillo	~pabu	KUB	tatu	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~pabu	FALSE	PET	PWT	p ã m ũ
850	h a m u	77	armadillo	hamu	KUE	tatu	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	hamu	FALSE	PET	PWT	h a m u
851	p ã m õ	77	armadillo	~pabo	PIR	tatu	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~pabo	FALSE	PET	PWT	p ã m õ
852	h ã m o	77	armadillo	hãmo	SEK	tatu	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	hãmo	FALSE	PET	PWT	h ã m o
853	h ã m u	77	armadillo	hãmu	SIO	tatu	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	hãmu	FALSE	PET	PWT	h ã m u
854	p ã m ũ	77	armadillo	~pabu	TAN	tatu	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~pabu	FALSE	PET	PWT	p ã m ũ
855	p ã m õ	77	armadillo	~pabo	TUK	tatu	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~pabo	FALSE	PET	PWT	p ã m õ
856	p ã m õ	77	armadillo	~pabo	WAN	tatu	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~pabo	FALSE	PET	PWT	p ã m õ
857	p ã m u	77	armadillo	-	*PT	-	-	-	-	-	*pãmu	FALSE	-	-	p ã m u
858	h a - j a	78	float	haja	BAS	flutuar	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	haja	FALSE	PET	PWT	h a j a
859	p á - j a	78	float	pája	DES	flutuar	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	pája	FALSE	PET	PWT	p á j a
860	p a - s a	78	float	pasa	KAR	flutuar	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	pasa	FALSE	PET	PWT	p a s a
861	p a ʔs a	78	float	paʔsa	TUK	flutuar	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	paʔsa	FALSE	PET	PWT	p a ʔs a
862	p a - s a	78	float	pasa	TUY	flutuar	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	pasa	FALSE	PET	PWT	p a s a
863	p a ʔs a	78	float	paʔsa	WAN	flutuar	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	paʔsa	FALSE	PET	PWT	p a ʔs a
864	p a ʔj a	78	float	-	*PT	-	-	-	-	-	*paʔja	TRUE	-	-	p a ʔj a
865	h e - a	79	fire	hea	BAS	fogo	firewood	lenha	GLOSA 3 PORT	GLOSS 3 ENGL	hea	FALSE	PET	PWT	h e a
866	p e - a	79	fire	pea	DES	fogo	firewood	lenha	GLOSA 3 PORT	GLOSS 3 ENGL	pea	FALSE	PET	PWT	p e a
867	p e - e	79	fire	pee	KAR	fogo	firewood	lenha	GLOSA 3 PORT	GLOSS 3 ENGL	pee	FALSE	PET	PWT	p e e
868	h ẽ kh a	79	fire	hẽkha	KOR	fogo	firewood	lenha	GLOSA 3 PORT	GLOSS 3 ENGL	hẽkha	FALSE	PET	PWT	h ẽ kh a
869	p e k a	79	fire	peka	KUB	fogo	firewood	lenha	GLOSA 3 PORT	GLOSS 3 ENGL	peka	FALSE	PET	PWT	p e k a
870	h e ki a	79	fire	hekia	KUE	fogo	firewood	lenha	GLOSA 3 PORT	GLOSS 3 ENGL	hekia	FALSE	PET	PWT	h e ki a
871	h e k a	79	fire	heka	MAI	fogo	firewood	lenha	GLOSA 3 PORT	GLOSS 3 ENGL	heka	FALSE	PET	PWT	h e k a
872	h e k a	79	fire	heka	SEK	fogo	firewood	lenha	GLOSA 3 PORT	GLOSS 3 ENGL	heka	FALSE	PET	PWT	h e k a
873	h ẽ k a	79	fire	hẽka	SIO	fogo	firewood	lenha	GLOSA 3 PORT	GLOSS 3 ENGL	hẽka	FALSE	PET	PWT	h ẽ k a
874	p e k a	79	fire	peka	TAN	fogo	firewood	lenha	GLOSA 3 PORT	GLOSS 3 ENGL	peka	FALSE	PET	PWT	p e k a
875	p e k a	79	fire	peka	TUK	fogo	firewood	lenha	GLOSA 3 PORT	GLOSS 3 ENGL	peka	FALSE	PET	PWT	p e k a
876	p e k a	79	fire	peka	TUY	fogo	firewood	lenha	GLOSA 3 PORT	GLOSS 3 ENGL	peka	FALSE	PET	PWT	p e k a
877	ph i t∫ a	79	fire	phit∫a	WAN	fogo	firewood	lenha	GLOSA 3 PORT	GLOSS 3 ENGL	phit∫a	FALSE	PET	PWT	ph i t∫ a
878	p e k a	79	fire	-	*PT	-	-	-	-	-	*peka	FALSE	-	-	p e k a
879	h e - d i -	80	end	hedi	BAS	terminar	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	hedi	FALSE	PET	PWT	h e d i
880	p e ʔd e a	80	end	peʔdea	DES	terminar	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	peʔdea	FALSE	PET	PWT	p e ʔd e a
881	p e - t i -	80	end	peti	KUE	terminar	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	peti	FALSE	PET	PWT	p e t i
882	p e ʔt i	80	end	peʔti	TUK	terminar	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	peʔti	FALSE	PET	PWT	p e ʔt i
883	p i ʔt i	80	end	piʔti	WAN	terminar	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	piʔti	FALSE	PET	PWT	p i ʔt i
884	p e tʔ i	80	end	-	*PT	-	-	-	-	-	*petʔi	TRUE	-	-	p e tʔ i
885	h - e t a - - -	81	tocandira ant	heta	BAS	tocandira	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	heta	FALSE	PET	PWT	h e t a
886	p - e d a - - -	81	tocandira ant	peda	DES	tocandira	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	peda	FALSE	PET	PWT	p e d a
887	p - e t a - - -	81	tocandira ant	peta	KAR	tocandira	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	peta	FALSE	PET	PWT	p e t a
888	p i a d a - - -	81	tocandira ant	piada	KUB	tocandira	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	piada	FALSE	PET	PWT	p i a d a
889	h - a t a - - -	81	tocandira ant	hata	KUE	tocandira	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	hata	FALSE	PET	PWT	h a t a
890	p - a t a	81	tocandira ant	patajah	TAN	tocandira	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	patajah	FALSE	PET	PWT	p a t a
891	p - e t a - - -	81	tocandira ant	peta	TUK	tocandira	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	peta	FALSE	PET	PWT	p e t a
892	ph - i t a - - -	81	tocandira ant	phita	WAN	tocandira	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	phita	FALSE	PET	PWT	ph i t a
893	p i a t a	81	tocandira ant	-	*PT	-	-	-	-	-	*piata	TRUE	-	-	p i a t a
894	h ĩ k õ	82	palm-weevil	~hiko	BAS	muxiva	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~hiko	FALSE	PET	PWT	h ĩ k õ
895	- p ĩ - ŋ ũ	82	palm-weevil	~pigu	DES	muxiva	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~pigu	FALSE	PET	PWT	p ĩ ŋ ũ
896	h ĩ ʔkh o	82	palm-weevil	hĩʔkho	KOR	muxiva	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	hĩʔkho	FALSE	PET	PWT	h ĩ ʔkh o
897	- p ĩ - k õ	82	palm-weevil	~piko	KUB	muxiva	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~piko	FALSE	PET	PWT	p ĩ k õ
898	- h ɨ̃ - k o	82	palm-weevil	hɨ̃ko	MAI	muxiva	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	hɨ̃ko	FALSE	PET	PWT	h ɨ̃ k o
899	- h ĩ - k o	82	palm-weevil	hĩko	SEK	muxiva	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	hĩko	FALSE	PET	PWT	h ĩ k o
900	- h ĩ - k o	82	palm-weevil	hĩko	SIO	muxiva	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	hĩko	FALSE	PET	PWT	h ĩ k o
901	- p ĩ - k õ	82	palm-weevil	~piko	TAN	muxiva	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~piko	FALSE	PET	PWT	p ĩ k õ
902	- p ĩ - k õ	82	palm-weevil	~piko	TUK	muxiva	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~piko	FALSE	PET	PWT	p ĩ k õ
903	_ ph i - t∫ o	82	palm-weevil	~ phit∫o	WAN	muxiva	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	~_phit∫o	FALSE	PET	PWT	_ ph i t∫ o
904	p ĩ k o	82	palm-weevil	-	*PT	-	-	-	-	-	*pĩko	FALSE	-	-	p ĩ k o
905	h ɨ̃ th ɨ	83	handpalm	hɨ̃thɨ	KOR	palma da mão	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	hɨ̃thɨ	FALSE	PET	PWT	h ɨ̃ th ɨ
906	p ɨ d ɨ	83	handpalm	pɨdɨ	KUB	palma da mão	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	pɨdɨ	FALSE	PET	PWT	p ɨ d ɨ
907	h ɨ̃ t ɨ	83	handpalm	hɨ̃tɨ	MAI	palma da mão	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	hɨ̃tɨ	FALSE	PET	PWT	h ɨ̃ t ɨ
908	h ɨ̃ t ɨ	83	handpalm	hɨ̃tɨ	SEK	palma da mão	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	hɨ̃tɨ	FALSE	PET	PWT	h ɨ̃ t ɨ
909	- ɨ̃ t ɨ	83	handpalm	ɨ̃tɨ	SIO	palma da mão	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	ɨ̃tɨ	FALSE	PET	PWT	ɨ̃ t ɨ
910	p i t a	83	handpalm	pita	TAN	palma da mão	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	pita	FALSE	PET	PWT	p i t a
911	p ɨ t ɨ	83	handpalm	-	*PT	-	-	-	-	-	*pɨtɨ	FALSE	-	-	p ɨ t ɨ
912	h o t a	84	thorn	hota	BAS	espinho	fishhook (tan)	anzol (tan)	GLOSA 3 PORT	GLOSS 3 ENGL	hota	FALSE	*pota	PWT	h o t a
913	p o d a	84	thorn	poda	DES	espinho	fishhook (tan)	anzol (tan)	GLOSA 3 PORT	GLOSS 3 ENGL	poda	FALSE	*pota	PWT	p o d a
914	p o t a	84	thorn	pota	KAR	espinho	fishhook (tan)	anzol (tan)	GLOSA 3 PORT	GLOSS 3 ENGL	pota	FALSE	*pota	PWT	p o t a
915	ɸ o t a	84	thorn	ɸota	TAN	espinho	fishhook (tan)	anzol (tan)	GLOSA 3 PORT	GLOSS 3 ENGL	ɸota	FALSE	*pota	PWT	ɸ o t a
916	p o t a	84	thorn	pota	TUK	espinho	fishhook (tan)	anzol (tan)	GLOSA 3 PORT	GLOSS 3 ENGL	pota	FALSE	*pota	PWT	p o t a
917	ph o t a	84	thorn	phota	WAN	espinho	fishhook (tan)	anzol (tan)	GLOSA 3 PORT	GLOSS 3 ENGL	phota	FALSE	*pota	PWT	ph o t a
918	p o t a	84	thorn	-	*PT	-	-	-	-	-	*pota	FALSE	-	-	p o t a
919	h u t i	85	blow	huti	BAS	assoprar	GLOSA 2 ENGL	GLOSA 2 PORT	GLOSA 3 PORT	GLOSS 3 ENGL	huti	FALSE	PET	PWT	h u t i
